ts,step,endpoint,latency_ms,status,ok
1789194511.01,10,search,169.7,200,1
1789194511.014,10,login,56.1,200,1
1789194511.018,10,health,26.0,200,1
1789194511.019,10,health,4.0,200,1
1789194511.031,10,search,164.0,200,1
1789194511.033,10,login,64.7,200,1
1789194511.036,10,health,2.9,200,1
1789194511.044,10,login,69.6,200,1
1789194511.044,10,login,82.6,200,1
1789194511.047,10,health,3.1,200,1
1789194511.05,10,health,5.7,200,1
1789194511.079,10,login,67.7,200,1
1789194511.081,10,health,2.6,200,1
1789194511.092,10,login,60.9,200,1
1789194511.094,10,health,2.2,200,1
1789194511.181,10,orders,226.6,200,1
1789194511.2,10,orders,215.4,200,1
1789194511.211,10,orders,209.0,200,1
1789194511.219,10,orders,200.7,200,1
1789194511.238,10,orders,219.8,200,1
1789194511.251,10,orders,215.7,200,1
1789194511.256,10,orders,208.5,200,1
1789194511.26,10,orders,211.2,200,1
1789194511.346,10,orders,264.6,200,1
1789194511.381,10,orders,286.8,200,1
1789194511.389,10,search,207.8,200,1
1789194511.412,10,search,193.4,200,1
1789194511.415,10,search,215.1,200,1
1789194511.416,10,search,204.9,200,1
1789194511.432,10,search,193.2,200,1
1789194511.439,10,search,183.2,200,1
1789194511.449,10,search,197.9,200,1
1789194511.455,10,search,194.4,200,1
1789194511.456,10,login,67.7,200,1
1789194511.459,10,health,3.2,200,1
1789194511.466,10,login,54.2,200,1
1789194511.467,10,login,52.2,200,1
1789194511.47,10,health,2.7,200,1
1789194511.482,10,health,16.1,200,1
1789194511.484,10,login,68.2,200,1
1789194511.487,10,login,48.4,200,1
1789194511.496,10,login,64.6,200,1
1789194511.498,10,login,49.1,200,1
1789194511.5,10,health,4.8,200,1
1789194511.501,10,health,17.1,200,1
1789194511.504,10,health,5.8,200,1
1789194511.507,10,login,52.1,200,1
1789194511.51,10,health,3.1,200,1
1789194511.513,10,health,26.1,200,1
1789194511.518,10,search,172.4,200,1
1789194511.558,10,login,40.2,200,1
1789194511.561,10,health,3.2,200,1
1789194511.578,10,search,197.5,200,1
1789194511.621,10,login,43.3,200,1
1789194511.638,10,health,16.1,200,1
1789194511.659,10,orders,199.8,200,1
1789194511.681,10,orders,199.3,200,1
1789194511.697,10,orders,193.5,200,1
1789194511.706,10,orders,204.7,200,1
1789194511.716,10,orders,205.8,200,1
1789194511.721,10,orders,207.4,200,1
1789194511.728,10,orders,257.5,200,1
1789194511.739,10,orders,237.1,200,1
1789194511.787,10,orders,225.3,200,1
1789194511.817,10,search,158.0,200,1
1789194511.848,10,search,150.3,200,1
1789194511.854,10,search,148.0,200,1
1789194511.854,10,search,172.8,200,1
1789194511.861,10,search,139.7,200,1
1789194511.863,10,search,135.5,200,1
1789194511.866,10,search,127.2,200,1
1789194511.869,10,login,51.9,200,1
1789194511.872,10,health,3.0,200,1
1789194511.876,10,search,160.5,200,1
1789194511.891,10,login,30.7,200,1
1789194511.892,10,orders,254.3,200,1
1789194511.895,10,health,4.6,200,1
1789194511.901,10,login,45.8,200,1
1789194511.903,10,health,2.6,200,1
1789194511.913,10,login,65.3,200,1
1789194511.921,10,login,67.4,200,1
1789194511.923,10,health,2.4,200,1
1789194511.937,10,search,149.8,200,1
1789194511.937,10,health,23.8,200,1
1789194511.94,10,login,74.6,200,1
1789194511.943,10,health,2.8,200,1
1789194511.947,10,login,70.8,200,1
1789194511.956,10,login,92.8,200,1
1789194511.958,10,health,2.5,200,1
1789194511.967,10,health,19.5,200,1
1789194511.988,10,login,52.2,200,1
1789194511.991,10,health,2.8,200,1
1789194512.049,10,search,157.7,200,1
1789194512.095,10,login,45.7,200,1
1789194512.097,10,health,2.3,200,1
1789194512.108,10,orders,236.5,200,1
1789194512.127,10,orders,231.7,200,1
1789194512.133,10,orders,230.4,200,1
1789194512.154,10,orders,231.6,200,1
1789194512.167,10,orders,224.2,200,1
1789194512.173,10,orders,236.9,200,1
1789194512.218,10,orders,260.3,200,1
1789194512.228,10,orders,261.7,200,1
1789194512.262,10,orders,270.4,200,1
1789194512.306,10,search,178.5,200,1
1789194512.311,10,search,177.9,200,1
1789194512.316,10,search,207.9,200,1
1789194512.323,10,search,168.8,200,1
1789194512.34,10,search,166.0,200,1
1789194512.357,10,search,189.2,200,1
1789194512.363,10,login,57.0,200,1
1789194512.369,10,login,58.3,200,1
